Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Viral hemorrhagic fevers***, Lujo virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, infant",2018,47,,-,117,,3,,137,,144,,138,,127,,136,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,47,,-,200,,4,,203,,187,,167,,39,,34,,
Yellow fever,2018,47,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,47,,-,237,,5,,338,,307,,274,,250,,329,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,47,,-,26,,1,,33,,30,,29,,40,,31,,
Tularemia,2018,47,,-,178,,2,,239,,230,,314,,180,,203,,
"Hepatitis B, perinatal infection",2018,47,,-,14,,1,,31,,34,,37,,47,,48,,
"Viral hemorrhagic fevers***, Lassa virus",2018,47,,-,,-,,-,,-,,-,1,,1,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,47,,-,14,,1,,34,,22,,7,,8,,12,,
Streptococcal toxic-shock syndrome¶,2018,47,,-,230,,5,,372,,283,,335,,259,,224,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,47,,-,25,,1,,30,,40,,64,,59,,71,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,47,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, acute",2018,47,,-,126,,2,,153,,132,,122,,132,,137,,
"Syphilis, congenital",2018,47,,-,736,,12,,918,,633,,493,,458,,348,,
Cyclosporiasis¶,2018,47,,-,2942,,2,,1194,,535,,645,,388,,784,,
"Meningococcal disease, Serogroups ACWY",2018,47,,-,74,,3,,107,,126,,120,,123,,142,,
Cholera,2018,47,,-,5,,0,,10,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,47,,-,125,,2,,189,,159,,135,,266,,233,,
Smallpox,2018,47,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,47,,-,10,,0,,33,,31,,21,,32,,21,,
Novel Influenza A virus infections§§,2018,47,,-,14,,0,,66,,23,,7,,3,,21,,
Typhoid fever ,2018,47,,-,277,,4,,419,,376,,367,,349,,338,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,47,,-,134,,4,,200,,196,,175,,128,,141,,
"Botulism, foodborne",2018,47,,-,10,,0,,19,,31,,37,,15,,4,,
Plague,2018,47,,-,1,,0,,5,,4,,16,,10,,4,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,47,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2018,47,,-,632,,14,,887,,786,,768,,769,,735,,
"Meningococcal disease, Serogroup B",2018,47,,-,43,,2,,90,,86,,111,,89,,99,,
"Botulism, other (wound and unspecified)",2018,47,,-,39,,0,,21,,26,,20,,19,,12,,
"Q fever¶, chronic",2018,47,,-,20,,1,,40,,32,,34,,36,,33,,
"Viral hemorrhagic fever***, Marburg virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Unknown serogroup",2018,47,,-,137,,3,,131,,142,,120,,196,,298,,
Measles††,2018,47,,-,197,,1,,120,,85,,188,,667,,187,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,48,,-,5,,0,,5,,7,,6,,8,,8,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,48,,-,14,,0,,34,,22,,7,,8,,12,,
"Influenza-associated pediatric mortality¶,**",2018,48,,-,180,,1,,126,,82,,130,,141,,160,,
"Hepatitis B, perinatal infection",2018,48,,-,11,,1,,31,,34,,37,,47,,48,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,48,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Other serogroups",2018,48,,-,17,,0,,25,,21,,21,,25,,17,,
"Polio virus Infection, nonparalytic¶",2018,48,,-,,-,,-,,-,,-,,-,,-,,-,
Novel Influenza A virus infections§§,2018,48,,-,14,,0,,66,,23,,7,,3,,21,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,48,3,,60,,2,,109,,108,,183,,212,,248,,"NY (1 ), NYC (1 ), OH (1 )"
Typhoid fever ,2018,48,3,,305,,5,,419,,376,,367,,349,,338,,"OH (1 ), MD (1 ), AR (1 )"
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,48,,-,128,,3,,189,,159,,135,,266,,233,,
Hansen's disease¶,2018,48,,-,51,,1,,94,,78,,89,,88,,81,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,48,,-,25,,1,,30,,40,,64,,59,,71,,
Yellow fever,2018,48,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,48,,-,10,,0,,19,,31,,37,,15,,4,,
Trichinellosis¶,2018,48,,-,1,,0,,15,,26,,14,,14,,22,,
"Viral hemorrhagic fevers***, Lassa virus",2018,48,,-,,-,,-,,-,,-,1,,1,,,NP,
"Rabies, human",2018,48,,-,3,,,-,2,,,-,2,,1,,2,,
"Viral hemorrhagic fevers***, Machupo virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
Leptospirosis¶,2018,48,1,,65,,1,,72,,78,,40,,38,,,NN,PA (1 )
"Q fever¶, total",2018,48,1,,151,,2,,193,,164,,156,,168,,170,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,48,,-,4,,0,,11,,8,,23,,10,,1,,
Hantavirus pulmonary syndrome¶ ,2018,48,,-,10,,0,,33,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,48,,-,34,,0,,75,,15,,11,,11,,22,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,48,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,48,,-,138,,3,,131,,142,,120,,196,,298,,
"Q fever¶, acute",2018,50,,-,138,,2,,153,,132,,122,,132,,137,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,48,,-,141,,4,,200,,196,,175,,128,,141,,
"Syphilis, congenital",2018,48,,-,756,,12,,918,,633,,493,,458,,348,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,48,,-,27,,1,,33,,30,,29,,40,,31,,
Smallpox,2018,48,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2018,48,,-,6,,0,,7,,11,,11,,,-,,-,
Plague,2018,48,,-,1,,,-,5,,4,,16,,10,,4,,
"Meningococcal disease, Serogroup B",2018,48,1,,49,,2,,90,,86,,111,,89,,99,,AR (1 )
"Meningococcal disease, Serogroups ACWY",2018,48,1,,76,,2,,107,,126,,120,,123,,142,,OR (1 )
Paratyphoid fever¶¶,2018,48,,-,57,,,NA,,NA,,NA,,NA,,NA,,NA,
"Poliomyelitis, paralytic",2018,48,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,48,,-,78,,0,,63,,35,,55,,80,,85,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,48,2,,246,,5,,338,,307,,274,,250,,329,,"TN (1 ), AR (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,48,,-,1,,0,,2,,6,,3,,,NN,,NN,
Tularemia,2018,48,1,,181,,2,,239,,230,,314,,180,,203,,WY (1 )
Streptococcal toxic-shock syndrome¶,2018,48,2,,240,,5,,372,,283,,335,,259,,224,,"NY (1 ), OH (1 )"
"Botulism, other (wound and unspecified)",2018,48,,-,43,,0,,21,,26,,20,,19,,12,,
Brucellosis,2018,48,,-,110,,2,,140,,127,,126,,92,,99,,
Cholera,2018,48,,-,5,,0,,10,,15,,5,,5,,14,,
"Viral hemorrhagic fever***, Sabia virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus¶,2018,48,,-,,-,0,,3,,,-,3,,,-,,-,
Measles††,2018,48,9,,222,,1,,120,,85,,188,,667,,187,,"NY (5 ), NYC (4 )"
Psittacosis¶,2018,48,,-,12,,0,,5,,12,,4,,8,,6,,
Listeriosis,2018,48,8,,670,,14,,887,,786,,768,,769,,735,,"VT (1 ), NYC (1 ), PA (2 ), SC (1 ), FL (1 ), OK (1 ), TX (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,48,,-,83,,4,,156,,247,,896,,,NN,,NN,
"Viral hemorrhagic fevers***, Junin virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, chronic",2018,48,1,,21,,0,,40,,32,,34,,36,,33,,ME (1 )
"Botulism, total",2018,48,2,,178,,3,,177,,201,,195,,161,,152,,
Cyclosporiasis¶,2018,48,3,,2954,,2,,1194,,535,,645,,388,,784,,"MO (1 ), TX (1 ), MT (1 )"
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,48,7,,208,,4,,203,,187,,167,,39,,34,,"NY (1 ), OH (2 ), GA (1 ), FL (3 )"
"Viral hemorrhagic fevers***, Ebola virus ",2018,48,,-,,-,,-,,-,,-,,-,4,,,NP,
"Botulism, infant",2018,48,2,,125,,3,,137,,144,,138,,127,,136,,"PA (1 ), OH (1 )"
"Viral hemorrhagic fevers***, Lujo virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fever***, Marburg virus",2018,48,,-,,-,,-,,-,,-,,-,,NP,,NP,
Anthrax,2018,48,,-,1,,,-,,-,,-,,-,,-,,-,
"Q fever¶, acute",2018,48,,-,130,,2,,153,,132,,122,,132,,137,,
Brucellosis,2018,49,,-,111,,2,,140,,127,,126,,92,,99,,
Novel Influenza A virus infections§§,2018,49,,-,14,,0,,66,,23,,7,,3,,21,,
"Viral hemorrhagic fevers***, Lassa virus",2018,49,,-,,-,,-,,-,,-,1,,1,,,NP,
"Botulism, other (wound and unspecified)",2018,49,,-,44,,0,,21,,26,,20,,19,,12,,
"Influenza-associated pediatric mortality¶,**",2018,49,1,,181,,1,,126,,82,,130,,141,,160,,MT (1 )
"Viral hemorrhagic fevers***, Lujo virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Unknown serogroup",2018,49,,-,139,,3,,131,,142,,120,,196,,298,,
"Hepatitis B, perinatal infection",2018,49,,-,14,,1,,31,,34,,37,,47,,48,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,49,1,,26,,1,,30,,40,,64,,59,,71,,OH (1 )
Anthrax,2018,49,,-,1,,,-,,-,,-,,-,,-,,-,
"Botulism, total",2018,49,1,,180,,3,,177,,201,,195,,161,,152,,
"Q fever¶, total",2018,49,2,,160,,2,,193,,164,,156,,168,,170,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,49,,-,27,,1,,33,,30,,29,,40,,31,,
Typhoid fever ,2018,49,,-,309,,5,,419,,376,,367,,349,,338,,
Tularemia,2018,49,,-,186,,2,,239,,230,,314,,180,,203,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,49,,-,,-,,-,,-,,-,,-,4,,,NP,
Leptospirosis¶,2018,49,,-,65,,1,,72,,78,,40,,38,,,NN,
Plague,2018,49,,-,1,,,-,5,,4,,16,,10,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,49,,-,5,,0,,11,,8,,23,,10,,1,,
Hansen's disease¶,2018,49,,-,51,,1,,94,,78,,89,,88,,81,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,49,,-,84,,3,,156,,247,,896,,,NN,,NN,
"Botulism, foodborne",2018,49,,-,10,,0,,19,,31,,37,,15,,4,,
"Polio virus Infection, nonparalytic¶",2018,49,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus pulmonary syndrome¶ ,2018,49,,-,10,,0,,33,,31,,21,,32,,21,,
Paratyphoid fever¶¶,2018,49,,-,59,,,NA,,NA,,NA,,NA,,NA,,NA,
Vancomycin-intermediate Staphylococcus aureus¶,2018,49,,-,61,,2,,109,,108,,183,,212,,248,,
"Rabies, human",2018,49,,-,3,,,-,2,,,-,2,,1,,2,,
Psittacosis¶,2018,49,,-,12,,0,,5,,12,,4,,8,,6,,
Cyclosporiasis¶,2018,49,2,,2964,,2,,1194,,535,,645,,388,,784,,"NYC (1 ), MD (1 )"
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,49,,-,1,,0,,2,,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,49,,-,14,,0,,34,,22,,7,,8,,12,,
"Botulism, infant",2018,49,1,,126,,3,,137,,144,,138,,127,,136,,PA (1 )
Smallpox,2018,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,49,2,,132,,3,,189,,159,,135,,266,,233,,"NE (1 ), NM (1 )"
"Q fever¶, acute",2018,49,2,,138,,2,,153,,132,,122,,132,,137,,"NY (1 ), MD (1 )"
"Meningococcal disease, Serogroups ACWY",2018,49,1,,78,,2,,107,,126,,120,,123,,142,,OH (1 )
"Meningococcal disease, Other serogroups",2018,49,,-,17,,0,,25,,21,,21,,25,,17,,
"Viral hemorrhagic fever***, Sabia virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,49,,-,5,,0,,5,,7,,6,,8,,8,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
Streptococcal toxic-shock syndrome¶,2018,49,1,,245,,6,,372,,283,,335,,259,,224,,IN (1 )
"Meningococcal disease, Serogroup B",2018,49,,-,51,,2,,90,,86,,111,,89,,99,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, chronic",2018,49,,-,22,,0,,40,,32,,34,,36,,33,,
"Viral hemorrhagic fevers***, Junin virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,49,3,,211,,4,,203,,187,,167,,39,,34,,"FL (2 ), LA (1 )"
Yellow fever,2018,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,49,,-,147,,5,,200,,196,,175,,128,,141,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,49,1,,80,,0,,63,,35,,55,,80,,85,,TN (1 )
Cholera,2018,49,,-,5,,0,,10,,15,,5,,5,,14,,
Chancroid,2018,49,,-,6,,0,,7,,11,,11,,,-,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,49,,-,,-,0,,3,,,-,3,,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,49,,-,248,,4,,338,,307,,274,,250,,329,,
Listeriosis,2018,49,6,,681,,13,,887,,786,,768,,769,,735,,"NY (3 ), OH (1 ), AR (1 ), OK (1 )"
"Syphilis, congenital",2018,49,,-,783,,12,,918,,633,,493,,458,,348,,
"Viral hemorrhagic fever***, Marburg virus",2018,49,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,49,,-,33,,0,,75,,15,,11,,11,,22,,
Trichinellosis¶,2018,49,,-,1,,0,,15,,26,,14,,14,,22,,
"Poliomyelitis, paralytic",2018,49,,-,,-,,-,,-,,-,,-,,-,1,,
Measles††,2018,49,,-,230,,1,,120,,85,,188,,667,,187,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,50,,-,8,,,-,11,,8,,23,,10,,1,,
"Influenza-associated pediatric mortality¶,**",2018,50,1,,182,,1,,126,,82,,130,,141,,160,,MS (1 )
"Viral hemorrhagic fevers***, Junin virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
Smallpox,2018,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever***, Sabia virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
Hansen's disease¶,2018,50,,-,51,,2,,94,,78,,89,,88,,81,,
Yellow fever,2018,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2018,50,,-,45,,0,,21,,26,,20,,19,,12,,
"Q fever¶, total",2018,50,1,,161,,3,,193,,164,,156,,168,,170,,
Vancomycin-resistant Staphylococcus aureus¶,2018,50,,-,,-,0,,3,,,-,3,,,-,,-,
Brucellosis,2018,50,,-,111,,3,,140,,127,,126,,92,,99,,
"Meningococcal disease, Serogroup B",2018,50,,-,52,,2,,90,,86,,111,,89,,99,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,50,2,,258,,5,,338,,307,,274,,250,,329,,OK (2 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,50,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,50,,-,12,,0,,5,,12,,4,,8,,6,,
Paratyphoid fever¶¶,2018,50,,-,60,,,NA,,NA,,NA,,NA,,NA,,NA,
"Hepatitis B, perinatal infection",2018,50,,-,14,,1,,31,,34,,37,,47,,48,,
"Polio virus Infection, nonparalytic¶",2018,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,50,,-,27,,1,,33,,30,,29,,40,,31,,
Novel Influenza A virus infections§§,2018,50,,-,14,,0,,66,,23,,7,,3,,21,,
Typhoid fever ,2018,50,,-,317,,7,,419,,376,,367,,349,,338,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,50,,-,83,,,-,63,,35,,55,,80,,85,,
Streptococcal toxic-shock syndrome¶,2018,50,1,,252,,7,,372,,283,,335,,259,,224,,OH (1 )
"Viral hemorrhagic fever***, Marburg virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,50,,-,10,,0,,19,,31,,37,,15,,4,,
"Viral hemorrhagic fevers***, Machupo virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,50,,-,1,,0,,2,,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Guanarito virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,50,,-,84,,3,,156,,247,,896,,,NN,,NN,
"Meningococcal disease, Unknown serogroup",2018,50,1,,140,,3,,131,,142,,120,,196,,298,,TX (1 )
Trichinellosis¶,2018,50,,-,1,,1,,15,,26,,14,,14,,22,,
"Meningococcal disease, Other serogroups",2018,50,1,,18,,0,,25,,21,,21,,25,,17,,TX (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,50,4,,218,,5,,203,,187,,167,,39,,34,,"NY (1 ), NYC (1 ), MS (1 ), TX (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,50,,-,5,,0,,5,,7,,6,,8,,8,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,50,1,,152,,6,,200,,196,,175,,128,,141,,NY (1 )
Cyclosporiasis¶,2018,50,1,,2965,,4,,1194,,535,,645,,388,,784,,NYC (1 )
Plague,2018,50,,-,1,,,-,5,,4,,16,,10,,4,,
"Botulism, total",2018,50,1,,186,,4,,177,,201,,195,,161,,152,,
Anthrax,2018,50,,-,1,,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lujo virus",2018,50,,-,,-,,-,,-,,-,,-,,NP,,NP,
Hantavirus pulmonary syndrome¶ ,2018,50,,-,10,,1,,33,,31,,21,,32,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,50,,-,,-,,-,,-,,-,1,,1,,,NP,
"Meningococcal disease, Serogroups ACWY",2018,50,1,,83,,3,,107,,126,,120,,123,,142,,TX (1 )
"Rabies, human",2018,50,,-,3,,,-,2,,,-,2,,1,,2,,
Listeriosis,2018,50,5,,693,,16,,887,,786,,768,,769,,735,,"MI (1 ), MO (1 ), TX (1 ), CO (2 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,50,,-,14,,0,,34,,22,,7,,8,,12,,
Measles††,2018,50,6,,248,,3,,120,,85,,188,,667,,187,,"NY (5 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus¶,2018,50,,-,62,,3,,109,,108,,183,,212,,248,,
Cholera,2018,50,,-,5,,0,,10,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,50,1,,134,,3,,189,,159,,135,,266,,233,,TX (1 )
"Q fever¶, chronic",2018,50,1,,23,,1,,40,,32,,34,,36,,33,,NE (1 )
Toxic-shock syndrome (other than Streptococcal)¶,2018,50,,-,26,,1,,30,,40,,64,,59,,71,,
Tularemia,2018,50,1,,187,,3,,239,,230,,314,,180,,203,,MO (1 )
"Viral hemorrhagic fevers***, Ebola virus ",2018,50,,-,,-,,-,,-,,-,,-,4,,,NP,
Chancroid,2018,50,1,,7,,0,,7,,11,,11,,,-,,-,DE (1 )
"Poliomyelitis, paralytic",2018,50,,-,,-,,-,,-,,-,,-,,-,1,,
Leptospirosis¶,2018,50,,-,65,,1,,72,,78,,40,,38,,,NN,
"Syphilis, congenital",2018,50,,-,822,,12,,918,,633,,493,,458,,348,,
"Botulism, infant",2018,50,1,,131,,4,,137,,144,,138,,127,,136,,VA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,50,,-,32,,,-,75,,15,,11,,11,,22,,
"Meningococcal disease, Serogroup B",2018,51,,-,49,,2,,90,,86,,111,,89,,99,,
"Meningococcal disease, Unknown serogroup",2018,51,,-,143,,3,,131,,142,,120,,196,,298,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,51,,-,26,,1,,30,,40,,64,,59,,71,,
"Polio virus Infection, nonparalytic¶",2018,51,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,51,,-,33,,,-,75,,15,,11,,11,,22,,
Chancroid,2018,51,,-,7,,0,,7,,11,,11,,,-,,-,
Tularemia,2018,51,1,,189,,3,,239,,230,,314,,180,,203,,WY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,51,,-,84,,5,,156,,247,,896,,,NN,,NN,
"Syphilis, congenital",2018,51,,-,843,,12,,918,,633,,493,,458,,348,,
Yellow fever,2018,51,,-,,-,,-,,-,,-,,-,,-,,-,
Trichinellosis¶,2018,51,,-,1,,1,,15,,26,,14,,14,,22,,
Psittacosis¶,2018,51,,-,12,,0,,5,,12,,4,,8,,6,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,51,,-,,-,,-,,-,,-,,-,4,,,NP,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,51,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,51,9,,266,,3,,120,,85,,188,,667,,187,,"NY (6 ), FL (3 )"
"Botulism, total",2018,51,1,,192,,4,,177,,201,,195,,161,,152,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,51,1,,140,,3,,189,,159,,135,,266,,233,,TX (1 )
Novel Influenza A virus infections§§,2018,51,,-,14,,0,,66,,23,,7,,3,,21,,
"Viral hemorrhagic fever***, Sabia virus",2018,51,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Influenza-associated pediatric mortality¶,**",2018,51,4,,186,,2,,126,,82,,130,,141,,160,,"MI (1 ), GA (1 ), AR (1 ), CA (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,51,,-,83,,,-,63,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,51,,-,8,,,-,11,,8,,23,,10,,1,,
Anthrax,2018,51,,-,1,,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,51,,-,,-,0,,3,,,-,3,,,-,,-,
"Poliomyelitis, paralytic",2018,51,,-,,-,,-,,-,,-,,-,,-,1,,
Smallpox,2018,51,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2018,51,,-,1,,,-,5,,4,,16,,10,,4,,
"Viral hemorrhagic fevers***, Lassa virus",2018,51,,-,,-,,-,,-,,-,1,,1,,,NP,
"Hepatitis B, perinatal infection",2018,51,,-,15,,1,,31,,34,,37,,47,,48,,
"Botulism, foodborne",2018,51,,-,10,,0,,19,,31,,37,,15,,4,,
"Meningococcal disease, Other serogroups",2018,51,,-,20,,0,,25,,21,,21,,25,,17,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,51,,-,269,,5,,338,,307,,274,,250,,329,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,51,2,,212,,5,,203,,187,,167,,39,,34,,"TX (1 ), HI (1 )"
"Rabies, human",2018,51,,-,3,,,-,2,,,-,2,,1,,2,,
"Q fever¶, chronic",2018,51,1,,26,,1,,40,,32,,34,,36,,33,,NE (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,51,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis¶,2018,51,,-,2968,,3,,1194,,535,,645,,388,,784,,
Hansen's disease¶,2018,51,,-,58,,2,,94,,78,,89,,88,,81,,
Brucellosis,2018,51,,-,111,,3,,140,,127,,126,,92,,99,,
Hantavirus pulmonary syndrome¶ ,2018,51,,-,10,,1,,33,,31,,21,,32,,21,,
