Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
"Rabies, human",2014,47,,-,1,,,-,2,,1,,6,,2,,4,,
Rubella†††,2014,47,,-,8,,,-,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,47,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,47,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,47,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,47,1,,174,,3,,224,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,47,,-,260,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,47,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,47,,-,41,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,47,,-,12,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,47,,-,143,,1,,203,,149,,166,,124,,93,,
Typhoid fever,2014,47,,-,271,,5,,338,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,47,1,,171,,2,,248,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,47,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,47,14,,1008,,12,,1299,,1111,,832,,846,,789,,"ME (1 ), NY (2 ), MD (1 ), VA (1 ), FL (3 ), TN (2 ), TX (3 ), WA (1 )"
Viral hemorrhagic fever¶¶¶,2014,47,,-,5,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,47,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,48,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,48,,-,75,,,-,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,48,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,48,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,48,,-,6,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,48,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,48,,-,129,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,48,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,48,,-,101,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,48,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,48,,-,79,,1,,99,,114,,79,,115,,115,,
Chancroid,2014,48,,-,18,,1,,10,,15,,8,,24,,28,,
Cholera,2014,48,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,48,1,,361,,1,,784,,123,,151,,179,,141,,NY (1 )
Diphtheria,2014,48,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,48,,-,22,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,48,3,,147,,4,,222,,205,,145,,200,,236,,"OH (1 ), OK (1 ), NM (1 )"
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,48,2,,205,,5,,185,,210,,226,,223,,178,,"NYC (1 ), FL (1 )"
Hansen disease§,2014,48,1,,47,,2,,81,,82,,82,,98,,103,,NYC (1 )
Hantavirus pulmonary syndrome§,2014,48,,-,22,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,48,,-,169,,4,,329,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,48,,-,32,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,48,,-,108,,4,,160,,52,,118,,61,,358,,
Leptospirosis,2014,48,,-,19,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,48,13,,588,,13,,735,,727,,870,,821,,851,,"NY (1 ), NYC (1 ), PA (2 ), MO (2 ), NC (5 ), FL (2 )"
Measles§§,2014,48,,-,610,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,48,1,,88,,4,,142,,161,,257,,280,,301,,OH (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,48,,-,54,,3,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,48,,-,21,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,48,2,,199,,7,,298,,260,,323,,406,,482,,"FL (1 ), ID (1 )"
Novel influenza A virus infections***,2014,48,,-,3,,290,,21,,313,,14,,4,,43774,,
Plague,2014,48,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,48,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,48,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,48,1,,6,,,-,6,,2,,2,,4,,9,,NE (1 )
"Q fever, total§",2014,48,,-,131,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,48,,-,107,,1,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,48,,-,24,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,48,,-,1,,,-,2,,1,,6,,2,,4,,
Rubella†††,2014,48,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,48,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,48,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,48,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,48,1,,176,,3,,224,,194,,168,,142,,161,,NC (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,48,,-,263,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,48,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,48,1,,42,,1,,71,,65,,78,,82,,74,,NY (1 )
Trichinellosis,2014,48,,-,11,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,48,,-,146,,1,,203,,149,,166,,124,,93,,
Typhoid fever,2014,48,1,,276,,5,,338,,354,,390,,467,,397,,NH (1 )
Vancomycin-intermediate Staphylococcus aureus§,2014,48,1,,176,,2,,248,,134,,82,,91,,78,,NY (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,48,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,48,4,,1026,,11,,1299,,1111,,832,,846,,789,,"FL (3 ), CO (1 )"
Viral hemorrhagic fever¶¶¶,2014,48,,-,6,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,48,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,49,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,49,,-,78,,,-,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,49,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,49,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,49,,-,7,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,49,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,49,,-,149,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,49,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,49,,-,101,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,49,,-,35,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,49,,-,81,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,49,,-,17,,0,,10,,15,,8,,24,,28,,
Cholera,2014,49,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,49,,-,361,,1,,784,,123,,151,,179,,141,,
Diphtheria,2014,49,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,49,,-,23,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,49,,-,147,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,49,2,,212,,5,,185,,210,,226,,223,,178,,"NYC (1 ), PA (1 )"
Hansen disease§,2014,49,1,,49,,1,,81,,82,,82,,98,,103,,FL (1 )
Hantavirus pulmonary syndrome§,2014,49,,-,23,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,49,6,,177,,4,,329,,274,,290,,266,,242,,"FL (2 ), OK (3 ), ID (1 )"
"Hepatitis B, virus infection perinatal",2014,49,,-,31,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,49,2,,110,,3,,160,,52,,118,,61,,358,,"OH (1 ), MN (1 )"
Leptospirosis,2014,49,,-,20,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,49,9,,609,,13,,735,,727,,870,,821,,851,,"PA (2 ), MD (1 ), FL (1 ), OK (1 ), TX (1 ), CO (1 ), WA (1 ), OR (1 )"
Measles§§,2014,49,,-,612,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,49,,-,88,,4,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,49,,-,54,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,49,,-,21,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,49,2,,203,,7,,298,,260,,323,,406,,482,,"NYC (1 ), FL (1 )"
Novel influenza A virus infections***,2014,49,,-,3,,184,,21,,313,,14,,4,,43774,,
Plague,2014,49,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,49,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,49,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,49,,-,6,,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,49,1,,134,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,49,,-,109,,1,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,49,1,,25,,0,,33,,22,,24,,25,,20,,MI (1 )
"Rabies, human",2014,49,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,49,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,49,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,49,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,49,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,49,,-,176,,3,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,49,,-,269,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,49,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,49,,-,45,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,49,,-,11,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,49,,-,146,,1,,203,,149,,166,,124,,93,,
Typhoid fever,2014,49,2,,281,,5,,338,,354,,390,,467,,397,,"NYC (1 ), WA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,49,3,,180,,2,,248,,134,,82,,91,,78,,"NYC (2 ), MI (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,49,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,49,3,,1050,,10,,1299,,1111,,832,,846,,789,,"MD (1 ), FL (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,49,,-,6,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,49,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,50,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,50,,-,79,,,-,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,50,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,50,,-,8,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,50,,-,8,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,50,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,50,,-,149,,4,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,50,,-,13,,1,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,50,,-,101,,3,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,50,,-,35,,1,,12,,18,,32,,25,,25,,
Brucellosis,2014,50,,-,82,,3,,99,,114,,79,,115,,115,,
Chancroid,2014,50,,-,17,,0,,10,,15,,8,,24,,28,,
Cholera,2014,50,,-,,-,1,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,50,1,,363,,2,,784,,123,,151,,179,,141,,NYC (1 )
Diphtheria,2014,50,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,50,,-,25,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,50,,-,151,,5,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,50,,-,215,,6,,185,,210,,226,,223,,178,,
Hansen disease§,2014,50,,-,51,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,50,,-,23,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,50,2,,185,,6,,329,,274,,290,,266,,242,,"MD (1 ), AR (1 )"
"Hepatitis B, virus infection perinatal",2014,50,,-,32,,2,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,50,4,,114,,3,,160,,52,,118,,61,,358,,"OH (1 ), MN (1 ), TX (2 )"
Leptospirosis,2014,50,,-,20,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,50,8,,629,,16,,735,,727,,870,,821,,851,,"PA (2 ), NE (1 ), NC (4 ), LA (1 )"
Measles§§,2014,50,,-,609,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,50,1,,91,,6,,142,,161,,257,,280,,301,,NC (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,50,1,,57,,3,,99,,110,,159,,135,,174,,MD (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,50,,-,18,,1,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,50,2,,206,,8,,298,,260,,323,,406,,482,,"TX (1 ), CA (1 )"
Novel influenza A virus infections***,2014,50,,-,3,,128,,21,,313,,14,,4,,43774,,
Plague,2014,50,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,50,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,50,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,50,,-,6,,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,50,2,,138,,4,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,50,2,,113,,3,,137,,113,,110,,106,,93,,NY (2 )
"Q fever, chronic",2014,50,,-,25,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,50,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,50,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,50,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,50,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,50,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,50,,-,176,,4,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,50,,-,274,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,50,,-,21,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,50,,-,45,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,50,,-,13,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,50,1,,147,,2,,203,,149,,166,,124,,93,,CO (1 )
Typhoid fever,2014,50,4,,283,,8,,338,,354,,390,,467,,397,,NYC (4 )
Vancomycin-intermediate Staphylococcus aureus§,2014,50,2,,182,,3,,248,,134,,82,,91,,78,,"NYC (1 ), TX (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,50,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,50,4,,1114,,13,,1299,,1111,,832,,846,,789,,"VA (1 ), FL (3 )"
Viral hemorrhagic fever¶¶¶,2014,50,,-,7,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,50,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,51,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,51,,-,79,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,51,,-,8,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,51,,-,8,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,51,,-,8,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,51,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,51,2,,131,,4,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,51,,-,10,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,51,2,,104,,3,,136,,123,,97,,80,,83,,OH (2 )
"Botulism, other (wound and unspecified)",2014,51,,-,17,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,51,1,,80,,3,,99,,114,,79,,115,,115,,WA (1 )
Chancroid,2014,51,,-,17,,0,,10,,15,,8,,24,,28,,
Cholera,2014,51,,-,,-,1,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,51,,-,363,,3,,784,,123,,151,,179,,141,,
Diphtheria,2014,51,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,51,,-,26,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,51,,-,157,,5,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,51,,-,215,,6,,185,,210,,226,,223,,178,,
Hansen disease§,2014,51,1,,51,,2,,81,,82,,82,,98,,103,,FL (1 )
Hantavirus pulmonary syndrome§,2014,51,1,,23,,0,,21,,30,,23,,20,,20,,TX (1 )
"Hemolytic uremic syndrome, postdiarrheal§",2014,51,1,,209,,5,,329,,274,,290,,266,,242,,OK (1 )
"Hepatitis B, virus infection perinatal",2014,51,1,,33,,2,,48,,40,,,U,,U,,U,OK (1 )
"Influenza-associated pediatric mortality§,††",2014,51,4,,118,,2,,160,,52,,118,,61,,358,,"VA (1 ), TX (1 ), CO (1 ), AZ (1 )"
Leptospirosis,2014,51,,-,21,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,51,6,,630,,16,,735,,727,,870,,821,,851,,"NYC (1 ), PA (2 ), MD (1 ), WA (2 )"
Measles§§,2014,51,5,,614,,1,,187,,55,,220,,63,,71,,OH (5 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,51,,-,92,,6,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,51,,-,59,,3,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,51,1,,19,,1,,17,,20,,20,,12,,23,,NC (1 )
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,51,4,,211,,9,,298,,260,,323,,406,,482,,"OH (1 ), TN (2 ), OR (1 )"
Novel influenza A virus infections***,2014,51,,-,3,,77,,21,,313,,14,,4,,43774,,
Plague,2014,51,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,51,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,51,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,51,1,,7,,0,,6,,2,,2,,4,,9,,NE (1 )
"Q fever, total§",2014,51,,-,137,,4,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,51,,-,112,,3,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,51,,-,25,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,51,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,51,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,51,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,51,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,51,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,51,2,,182,,4,,224,,194,,168,,142,,161,,"ME (1 ), NC (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,51,,-,290,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,51,,-,21,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,51,,-,49,,2,,71,,65,,78,,82,,74,,
Trichinellosis,2014,51,,-,13,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,51,,-,148,,1,,203,,149,,166,,124,,93,,
Typhoid fever,2014,51,3,,287,,8,,338,,354,,390,,467,,397,,"NY (1 ), NYC (1 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,51,1,,183,,3,,248,,134,,82,,91,,78,,FL (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,51,,-,,-,0,,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,51,,-,1118,,14,,1299,,1111,,832,,846,,789,,
Viral hemorrhagic fever¶¶¶,2014,51,,-,7,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,51,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,52,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,52,,-,79,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,52,,-,8,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,52,,-,8,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,52,,-,8,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,52,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,52,,-,133,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,52,,-,10,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,52,,-,105,,3,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,52,,-,18,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,52,,-,82,,2,,99,,114,,79,,115,,115,,
Chancroid,2014,52,1,,18,,1,,10,,15,,8,,24,,28,,DE (1 )
Cholera,2014,52,,-,,-,1,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,52,,-,364,,3,,784,,123,,151,,179,,141,,
Diphtheria,2014,52,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,52,,-,26,,1,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,52,,-,158,,5,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,52,1,,218,,6,,185,,210,,226,,223,,178,,PA (1 )
Hansen disease§,2014,52,,-,51,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,52,,-,24,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,52,,-,213,,5,,329,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,52,,-,33,,2,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,52,6,,124,,3,,160,,52,,118,,61,,358,,"MN (1 ), KS (1 ), TN (3 ), VA (1 )"
Leptospirosis,2014,52,,-,21,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,52,7,,637,,16,,735,,727,,870,,821,,851,,"RI (1 ), PA (2 ), OH (2 ), WA (1 ), CA (1 )"
Measles§§,2014,52,,-,554,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,52,1,,93,,6,,142,,161,,257,,280,,301,,ME (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,52,,-,59,,3,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,52,,-,19,,1,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,52,2,,215,,10,,298,,260,,323,,406,,482,,"GA (1 ), FL (1 )"
Novel influenza A virus infections***,2014,52,,-,3,,50,,21,,313,,14,,4,,43774,,
Plague,2014,52,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,52,,-,,-,0,,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,52,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,52,,-,7,,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,52,,-,139,,4,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,52,,-,113,,3,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,52,,-,26,,1,,33,,22,,24,,25,,20,,
"Rabies, human",2014,52,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,52,1,,7,,0,,9,,9,,4,,5,,3,,FL (1 )
"Rubella, congenital syndrome",2014,52,,-,,-,0,,1,,3,,,-,,-,2,,
SARS-CoV§,2014,52,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,52,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,52,1,,183,,5,,224,,194,,168,,142,,161,,ME (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,52,,-,298,,7,,348,,322,,360,,377,,423,,
Tetanus,2014,52,,-,21,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,52,1,,51,,2,,71,,65,,78,,82,,74,,TN (1 )
